"naftournament";"nafcoach";"race"
"48";"207";"12"
"48";"211";"11"
"48";"1991";"2"
"48";"1295";"12"
"58";"176";"1"
"58";"1554";"7"
"58";"1616";"9"
"58";"1833";"11"
"58";"1981";"14"
"58";"2558";"5"
"58";"2559";"12"
"58";"2560";"1"
"58";"2561";"15"
"58";"2562";"10"
"58";"2563";"5"
"23";"100";"11"
"23";"268";"2"
"23";"285";"9"
"23";"568";"1"
"23";"1761";"5"
"23";"2351";"6"
"47";"37";"14"
"47";"49";"5"
"47";"109";"4"
"47";"111";"11"
"47";"158";"5"
"47";"185";"1"
"47";"201";"1"
"47";"252";"1"
"47";"253";"4"
"47";"313";"3"
"47";"559";"5"
"47";"701";"4"
"47";"736";"5"
"47";"762";"1"
"47";"846";"2"
"47";"1042";"1"
"47";"1305";"12"
"47";"1315";"4"
"47";"1595";"2"
"47";"1802";"1"
"47";"1814";"9"
"47";"1882";"9"
"47";"1999";"10"
"47";"2203";"1"
"47";"2397";"1"
"47";"2402";"11"
"47";"2602";"4"
"47";"2737";"1"
"47";"2741";"5"
"47";"2742";"5"
"47";"2743";"12"
"47";"2745";"13"
"47";"2746";"5"
"47";"2747";"7"
"47";"2748";"15"
"47";"25";"2"
"47";"170";"6"
"47";"198";"1"
"47";"1323";"2"
"47";"1501";"2"
"47";"1505";"1"
"47";"2738";"3"
"47";"2739";"10"
"57";"52";"9"
"57";"176";"3"
"57";"213";"12"
"57";"1554";"13"
"57";"1616";"1"
"57";"1833";"11"
"57";"1981";"14"
"57";"1983";"5"
"57";"1996";"2"
"57";"2161";"10"
"57";"2162";"5"
"57";"2163";"14"
"57";"2558";"5"
"57";"2560";"11"
"57";"2562";"9"
"57";"2654";"5"
"57";"2777";"1"
"57";"2778";"11"
"57";"2779";"3"
"57";"2780";"4"
"57";"2781";"6"
"7289";"21342";"24"
"7289";"32657";"17"
"7289";"35073";"1"
"66";"125";"12"
"66";"128";"9"
"66";"129";"6"
"66";"135";"1"
"66";"136";"13"
"66";"138";"4"
"66";"140";"13"
"66";"144";"1"
"66";"152";"12"
"66";"652";"9"
"66";"922";"5"
"66";"1147";"15"
"66";"1524";"2"
